time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-11 21:00:00,0.0,0.0,25.4,20,1.5,0.0
2020-01-11 22:00:00,0.0,0.0,22.8,27,0.81,0.0
2020-01-11 23:00:00,0.0,0.0,21.1,33,0.61,0.0
2020-01-12 00:00:00,0.0,0.0,19.7,41,1.1,0.0
2020-01-12 01:00:00,0.0,0.0,19.3,45,1.48,0.0
2020-01-12 02:00:00,0.0,0.0,18.4,50,1.41,0.0
2020-01-12 03:00:00,0.0,0.0,17.5,50,1.12,0.0
2020-01-12 04:00:00,0.0,0.0,16.6,55,1.06,0.0
2020-01-12 05:00:00,0.0,0.0,15.3,63,1.63,0.0
2020-01-12 06:00:00,31.0,0.0,14.8,69,1.5,0.0
2020-01-12 07:00:00,205.0,0.0,19.1,57,0.91,0.0
2020-01-12 08:00:00,429.0,0.0,23.4,43,1.7,0.0
2020-01-12 09:00:00,648.0,0.0,26.3,35,3.52,0.0
2020-01-12 10:00:00,837.0,0.0,27.8,33,4.34,0.0
2020-01-12 11:00:00,970.0,0.0,28.8,34,4.7,0.0
2020-01-12 12:00:00,1064.0,0.0,29.4,34,5.1,0.0
2020-01-12 13:00:00,1075.0,0.0,29.5,35,5.52,0.0
2020-01-12 14:00:00,1038.0,0.0,29.1,35,5.82,0.0
2020-01-12 15:00:00,933.0,0.0,28.1,36,6.04,0.0
2020-01-12 16:00:00,779.0,0.0,26.9,38,6.14,0.0
2020-01-12 17:00:00,550.0,0.02,25.1,42,6.04,0.0
2020-01-12 18:00:00,333.0,0.06,23.0,48,5.91,0.0
2020-01-12 19:00:00,119.0,0.23,20.7,57,6.01,0.0
2020-01-12 20:00:00,6.0,0.48,18.8,65,5.9,0.0
2020-01-12 21:00:00,0.0,0.64,17.7,69,5.76,0.0
2020-01-12 22:00:00,0.0,0.64,16.9,72,5.42,0.0
2020-01-12 23:00:00,0.0,0.54,16.2,73,5.37,0.0
2020-01-13 00:00:00,0.0,0.51,15.6,74,4.83,0.0
2020-01-13 01:00:00,0.0,0.56,15.2,74,4.83,0.0
2020-01-13 02:00:00,0.0,0.53,14.9,73,4.61,0.0
2020-01-13 03:00:00,0.0,0.59,14.5,74,4.46,0.0
2020-01-13 04:00:00,0.0,0.48,14.2,74,4.24,0.0
2020-01-13 05:00:00,0.0,0.41,13.8,75,3.89,0.0
2020-01-13 06:00:00,20.0,0.48,13.9,74,3.61,0.0
2020-01-13 07:00:00,141.0,0.57,14.7,67,4.96,0.0
2020-01-13 08:00:00,345.0,0.31,16.2,59,5.13,0.0
2020-01-13 09:00:00,583.0,0.01,18.1,52,4.94,0.0
2020-01-13 10:00:00,803.0,0.01,20.2,45,4.7,0.0
2020-01-13 11:00:00,976.0,0.0,22.4,39,4.38,0.0
2020-01-13 12:00:00,1083.0,0.0,24.5,34,4.16,0.0
2020-01-13 13:00:00,1107.0,0.0,26.2,31,4.02,0.0
2020-01-13 14:00:00,1057.0,0.0,27.6,28,3.67,0.0
2020-01-13 15:00:00,942.0,0.0,28.8,28,3.51,0.0
2020-01-13 16:00:00,779.0,0.0,29.1,28,3.49,0.0
2020-01-13 17:00:00,577.0,0.0,28.9,29,3.76,0.0
2020-01-13 18:00:00,354.0,0.0,27.9,30,4.65,0.0
2020-01-13 19:00:00,138.0,0.0,25.7,36,5.2,0.0
2020-01-13 20:00:00,8.0,0.0,22.5,44,6.04,0.0
2020-01-13 21:00:00,0.0,0.0,19.8,53,6.02,0.0
2020-01-13 22:00:00,0.0,0.0,17.9,61,5.63,0.0
2020-01-13 23:00:00,0.0,0.0,16.6,67,5.0,0.0
2020-01-14 00:00:00,0.0,0.0,15.8,71,4.57,0.0
2020-01-14 01:00:00,0.0,0.04,15.1,75,4.2,0.0
2020-01-14 02:00:00,0.0,0.03,14.7,78,4.03,0.0
2020-01-14 03:00:00,0.0,0.0,14.0,82,3.89,0.0
2020-01-14 04:00:00,0.0,0.0,13.7,84,3.42,0.0
2020-01-14 05:00:00,0.0,0.03,13.5,87,3.16,0.0
2020-01-14 06:00:00,27.0,0.09,13.7,87,3.47,0.0
2020-01-14 07:00:00,194.0,0.06,15.8,77,4.02,0.0
2020-01-14 08:00:00,417.0,0.0,18.5,67,4.07,0.0
2020-01-14 09:00:00,634.0,0.0,21.4,57,4.12,0.0
2020-01-14 10:00:00,825.0,0.03,24.0,49,4.69,0.0
2020-01-14 11:00:00,973.0,0.01,26.2,43,5.19,0.0
2020-01-14 12:00:00,1049.0,0.0,27.8,39,5.66,0.0
2020-01-14 13:00:00,1040.0,0.0,28.5,37,5.97,0.0
2020-01-14 14:00:00,1033.0,0.01,28.5,37,6.3,0.0
2020-01-14 15:00:00,921.0,0.01,27.3,40,6.21,0.0
2020-01-14 16:00:00,771.0,0.0,26.5,41,6.41,0.0
2020-01-14 17:00:00,535.0,0.03,25.0,44,6.71,0.0
2020-01-14 18:00:00,313.0,0.05,22.9,49,6.98,0.0
2020-01-14 19:00:00,115.0,0.22,20.3,57,6.77,0.0
2020-01-14 20:00:00,7.0,0.34,18.1,64,6.47,0.0
2020-01-14 21:00:00,0.0,0.61,16.8,68,6.36,0.0
2020-01-14 22:00:00,0.0,0.77,16.1,69,6.23,0.0
2020-01-14 23:00:00,0.0,0.85,15.6,70,6.06,0.0
2020-01-15 00:00:00,0.0,0.81,15.4,69,5.71,0.0
2020-01-15 01:00:00,0.0,0.78,15.3,69,5.22,0.0
2020-01-15 02:00:00,0.0,0.75,15.0,70,5.3,0.0
2020-01-15 03:00:00,0.0,0.77,14.8,72,5.13,0.0
2020-01-15 04:00:00,0.0,0.68,14.4,73,4.44,0.0
2020-01-15 05:00:00,0.0,0.56,14.4,73,4.55,0.0
2020-01-15 06:00:00,19.0,0.63,14.5,73,4.38,0.0
2020-01-15 07:00:00,133.0,0.73,15.5,67,5.64,0.0
2020-01-15 08:00:00,301.0,0.84,16.9,61,6.15,0.0
2020-01-15 09:00:00,507.0,0.64,18.9,53,6.18,0.0
2020-01-15 10:00:00,735.0,0.41,20.5,48,6.13,0.0
2020-01-15 11:00:00,953.0,0.34,22.5,43,6.05,0.0
2020-01-15 12:00:00,1036.0,0.58,24.1,40,5.98,0.0
2020-01-15 13:00:00,1094.0,0.67,25.5,37,5.7,0.0
2020-01-15 14:00:00,1002.0,0.28,26.4,35,5.65,0.0
2020-01-15 15:00:00,876.0,0.05,26.0,38,5.73,0.0
